"You will receive the following information from your PayEye business manager, right after your online store has been verified and added to PayEye system. The data is needed for integration with the e-payeye service.","You will receive the following information from your PayEye business manager, right after your online store has been verified and added to PayEye system. The data is needed for integration with the e-payeye service."
"Shipping method mapping","Shipping method mapping"
"Magento shipping method","Magento shipping method"
"PayEye shipping method","PayEye shipping method"
Action,Action
Enable,Enable
Disable,Disable
Configuration,Configuration
"Test Mode","Test Mode"
"Order was placed with selected pickup point: %1","Order was placed with selected pickup point: %1"
